#,Symbol,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),Price Graph (7d)
1,BTC,Bitcoin,1.52E+11,$8929.88,"$7,055,840,000","16,995,462 BTC",0.94%,
2,ETH,Ethereum,63570049471,$642.08,"$2,453,940,000","99,006,586 ETH",2.04%,
3,XRP,Ripple,34295049288,$0.876076,"$711,326,000","39,146,203,398 XRP *",-0.54%,
4,BCH,Bitcoin-cash,24031143521,$1406.14,"$1,942,250,000","17,090,150 BCH",14.87%,
5,LTC,Litecoin,8543528189,$151.96,"$385,654,000","56,220,738 LTC",2.57%,
6,ADA,Cardano,7465077712,$0.287926,"$130,825,000","25,927,070,538 ADA *",-0.06%,
7,XLM,Stellar,6912071743,$0.372224,"$58,417,900","18,569,656,291 XLM *",0.13%,
8,MIOTA,IOTA,5888184747,$2.12,"$96,626,900","2,779,530,283 MIOTA *",3.99%,
9,NEO,NEO,4962431500,$76.35,"$132,425,000","65,000,000 NEO *",2.44%,
10,XMR,Monero,4509260410,$282.52,"$113,922,000","15,960,910 XMR",3.12%,
11,DASH,Dash,4037326531,$502.99,"$152,414,000","8,026,622 DASH",7.22%,
12,XEM,NEM,3554730000,$0.394970,"$32,740,300","8,999,999,999 XEM *",1.48%,
13,ETC,Ethereum-classic,2082164108,$20.55,"$278,121,000","101,333,689 ETC",8.52%,
14,QTUM,Qtum,1819828076,$20.55,"$235,835,000","88,544,908  QTUM *",4.74%,
15,LSK,Lisk,1306747440,$12.43,"$26,856,300","105,167,434 LSK *",7.28%,
16,BTG,Bitcoin-gold,1293405131,$76.26,"$108,535,000","16,961,311 BTG",14.85%,
17,ZEC,Zcash,1116006692,$296.27,"$78,148,300","3,766,819 ZEC",8.04%,
18,BTCP,Bitcoin-private,1052131655,$51.57,"$1,964,760","20,403,830 BTCP",-0.30%,
19,XVG,Verge,1031430916,$0.069165,"$53,987,200","14,912,635,105 XVG",-0.74%,
20,NANO,Nano,1006400344,$7.55,"$13,438,300","133,248,289 NANO *",5.36%,
21,BCN,Bytecoin-bcn,916538118.8,$0.004985,"$5,379,140","183,854,406,760 BCN",2.93%,
22,STEEM,Steem,827782546.1,$3.25,"$15,071,700","254,409,555 STEEM *",5.97%,
23,BTS,BitShares,706825957.3,$0.269954,"$21,045,600","2,618,320,000 BTS *",2.02%,
24,SC,Siacoin,701204704.2,$0.020634,"$25,929,900","33,983,304,297 SC",7.71%,
25,WAN,Wanchain,696309398.5,$6.56,"$11,683,200","106,152,493 WAN *",3.14%,
26,BCD,Bitcoin-diamond,690528763.7,$4.51,"$10,247,600","153,264,875 BCD",1.82%,
27,DOGE,Dogecoin,626683392.7,$0.005490,"$32,994,500","114,142,495,707 DOGE",-1.40%,
28,STRAT,Stratis,604040653.2,$6.11,"$11,846,100","98,828,479 STRAT *",5.01%,
29,WAVES,Waves,555812000,$5.56,"$30,380,700","100,000,000 WAVES *",6.81%,
30,DCR,Decred,469590355.7,$65.72,"$10,667,600","7,145,743 DCR",1.44%,
31,KMD,Komodo,419282643.3,$4.03,"$3,666,120","104,053,268 KMD",2.67%,
32,ARDR,Ardor,396047355.8,$0.396444,"$5,558,510","998,999,495 ARDR *",1.55%,
33,DGB,DigiByte,356729339.1,$0.035123,"$3,595,450","10,156,718,316 DGB",1.69%,
34,HSR,Hshare,354105544.5,$8.25,"$46,747,800","42,899,576 HSR",4.77%,
35,ARK,Ark,350668540.4,$3.43,"$6,122,140","102,095,828 ARK *",2.50%,
36,PIVX,PIVX,315525124.4,$5.63,"$9,003,880","56,055,487 PIVX *",1.47%,
37,CNX,Cryptonex,276131738.5,$6.10,"$1,654,880","45,230,943 CNX",1.52%,
38,SYS,Syscoin,274999324.8,$0.516427,"$6,020,830","532,503,771 SYS",4.05%,
39,FCT,Factom,267057050.4,$30.54,"$2,751,790","8,745,102 FCT *",1.54%,
40,MONA,MonaCoin,238112853.9,$4.04,"$1,425,610","58,980,725 MONA",0.78%,
41,RDD,ReddCoin,228273329.1,$0.007924,"$8,831,770","28,808,713,174 RDD *",1.03%,
42,ELA,Elastos,224053823.4,$44.36,"$17,851,000","5,050,625 ELA",-0.58%,
43,GXS,GXChain,218689800,$3.64,"$12,610,100","60,000,000 GXS *",-0.33%,
44,XZC,ZCoin,215351962.2,$46.82,"$4,515,560","4,599,258 XZC",6.48%,
45,NXT,Nxt,202294491.2,$0.202497,"$3,412,850","998,999,942 NXT *",1.49%,
46,GBYTE,Byteball,182324075.7,$282.26,"$347,688","645,946 GBYTE  *",3.33%,
47,NEBL,Neblio,171978063,$13.20,"$18,333,700","13,029,826 NEBL *",14.23%,
48,SMART,SmartCash,165582504.8,$0.182773,"$169,546","905,946,200 SMART",-1.35%,
49,ACT,Achain,158622187.5,$0.334364,"$60,998,500","474,399,718 ACT *",18.14%,
50,ETN,Electroneum,157702605.9,$0.023210,"$1,353,990","6,794,451,040 ETN",-2.15%,
51,SKY,Skycoin,154559286.8,$19.20,"$2,056,130","8,049,879 SKY *",-4.16%,
52,PART,Particl,148707270.4,$16.65,"$2,737,970","8,933,728 PART *",4.56%,
53,EMC,Emercoin,142610982.2,$3.42,"$2,702,680","41,656,608 EMC",-0.92%,
54,NXS,Nexus,139631873,$2.45,"$3,099,170","56,879,539 NXS",8.29%,
55,BOS,BOScoin,133406697.9,$0.305034,"$1,283,760","437,350,256 BOS *",15.28%,
56,ZEN,ZenCash,125028601.1,$33.83,"$1,307,290","3,695,900 ZEN",-2.46%,
57,TPAY,TokenPay,123599356.9,$8.08,"$1,001,940","15,295,909 TPAY *",4.13%,
58,POA,POA-network,119311681.6,$0.584312,"$8,663,500","204,191,736 POA *",1.26%,
59,VTC,Vertcoin,117851714.5,$2.68,"$2,314,690","43,911,275 VTC",4.09%,
60,BTX,Bitcore,117257030.8,$7.92,"$874,258","14,807,574 BTX",-16.58%,
61,GAME,GameCredits,116230270.6,$1.81,"$764,088","64,355,352 GAME",-1.00%,
62,BTCD,BitcoinDark,111394811.9,$86.43,"$341,077","1,288,862 BTCD",20.98%,
63,GRS,Groestlcoin,105624404.2,$1.51,"$43,622,300","69,895,779 GRS",2.84%,
64,UBQ,Ubiq,104785615.3,$2.59,"$3,644,570","40,529,436 UBQ",-1.79%,
65,BLOCK,Blocknet,101106811.9,$19.78,"$793,293","5,111,594 BLOCK *",5.66%,
66,GRE,Greencoin,100597064.8,$0.025208,"$14,241","3,990,632,641 GRE *",43.55%,
67,XDN,DigitalNote,97406023.89,$0.014118,"$4,693,460","6,899,518,614 XDN",3.35%,
68,LCC,Litecoin-cash,97326839.4,$0.171994,"$224,352","565,873,457 LCC",0.41%,
69,NAV,Nav-Coin,88220805.6,$1.41,"$2,011,910","62,744,611 NAV *",-5.06%,
70,BAY,BitBay,76227607.29,$0.075353,"$7,057,730","1,011,609,486 BAY *",6.54%,
71,CLOAK,CloakCoin,74622027.58,$14.56,"$2,924,860","5,124,717 CLOAK *",3.18%,
72,EMC2,Einsteinium,73095398.95,$0.337109,"$7,807,470","216,830,162 EMC2",0.71%,
73,MNX,MinexCoin,68312588.48,$18.68,"$159,798","3,656,404 MNX",4.12%,
74,ION,ION,65796265.59,$3.17,"$3,750,830","20,788,053 ION *",7.21%,
75,PPC,Peercoin,64066473.09,$2.59,"$715,968","24,728,643 PPC",5.28%,
76,SLS,SaluS,61120240.29,$60.49,"$1,914,220","1,010,419 SLS *",-1.53%,
77,PURA,Pura,57231445.44,$0.329808,"$2,701,070","173,529,585 PURA",2.52%,
78,ZCL,ZClassic,56277571.64,$14.79,"$20,059,500","3,805,650 ZCL",74.45%,
79,VIA,Viacoin,56034621.26,$2.43,"$3,069,450","23,020,957 VIA",3.20%,
80,XCP,Counterparty,52757515.29,$20.16,"$690,510","2,616,512 XCP *",-3.23%,
81,XAS,Asch,52465322.6,$0.561996,"$1,245,690","93,355,331 XAS",0.39%,
82,FTC,Feathercoin,50196320.93,$0.252739,"$862,128","198,609,320 FTC",2.10%,
83,BURST,Burst,49763887.84,$0.025778,"$690,789","1,930,508,963 BURST",1.84%,
84,LBC,Library-credit,48927655.16,$0.302096,"$541,824","161,960,619 LBC",0.88%,
85,NLG,Gulden,48143098.53,$0.121523,"$200,355","396,164,500 NLG",2.59%,
86,BCO,BridgeCoin,45507420,$1.69,"$11,873","27,000,000 BCO",1.43%,
87,ETP,Metaverse,45009622.42,$1.17,"$5,856,390","38,356,333 ETP",-5.20%,
88,ECA,Electra,44065177.68,$0.001797,"$626,029","24,520,704,752 ECA",-12.72%,
89,DCT,DECENT,42928830.79,$0.836720,"$1,237,620","51,306,089 DCT *",0.77%,
90,CSC,CasinoCoin,41686690.68,$0.001159,"$8,455","35,973,085,511 CSC *",8.19%,
91,XP,Experience-points,40938839.67,$0.000182,"$321,316","225,265,438,188 XP",-9.56%,
92,SBD,Steem-dollars,40307754.45,$3.32,"$10,568,700","12,137,600 SBD *",3.16%,
93,XBY,XTRABYTES,36614371,$0.085150,"$95,791","430,000,000 XBY *",3.10%,
94,LET,LinkEye,35420400,$0.059034,"$5,879,200","600,000,000 LET *",-1.41%,
95,AEON,Aeon,34213347.17,$2.17,"$109,210","15,752,437 AEON",2.84%,
96,RVN,Ravencoin,33800246.79,$0.037207,"$490,052","908,445,167 RVN",7.45%,
97,ECC,Eccoin,33216500,$0.001329,"$50,009","25,000,000,000 ECC *",-4.42%,
98,XEL,Elastic,32421332.35,$0.354791,"$842,249","91,381,496 XEL *",3.22%,
99,ONION,DeepOnion,31845304.26,$2.24,"$197,454","14,190,300 ONION",-3.11%,
100,SHIFT,Shift,31674340.22,$2.65,"$568,510","11,957,409 SHIFT *",1.45%,